CalParaCode,CalParaCode1,CalOperater1,CalParaCode2,CalOperater2,CalRate,CalBaseRate
3,1,*,2,*,1,Hourly    
8,1,=,7,=,1,Monthly   
11,1,*,10,*,1.5,Hourly    
13,1,*,12,*,1.75,Hourly    
15,1,*,14,*,2,Hourly    
17,1,*,16,*,2.5,Hourly    
22,1,*,40,=,0.11,Monthly   
23,1,*,40,=,0.07,Monthly   
24,1,*,40,=,0.01,Monthly   
25,1,=,40,=,10,Monthly   
37,1,*,40,=,0.1,Monthly   
39,1,*,38,*,1,Monthly   
41,1,=,1,=,50,Monthly   
44,1,=,40,=,1,Monthly   
48,1,*,40,=,0.1,Monthly   
62,1,*,61,*,1,Hourly    
