LoanEmpCode,LoanParCode,LoanOrgAmt,LoanRepAmt,LoanRemAmt,LoantrDate
101,27,0,0,0,9/1/2014
101,33,1700,0,0,1/1/1900
101,34,99000,0,0,9/1/2014
102,27,299.12,0,0,9/1/2014
103,27,0,0,0,9/1/2014
103,33,51090,0,0,1/1/1900
103,34,40218,0,0,9/1/2014
104,27,490.76,0,0,9/1/2014
104,34,14474,0,0,9/1/2014
105,27,3496.13,0,0,9/1/2014
105,33,36147,0,0,1/1/1900
105,34,2670.36,0,0,9/1/2014
106,27,247.92,0,0,9/1/2014
106,34,33675,2806.25,5612.5,9/1/2014
107,27,0,0,0,9/1/2014
107,34,212496,17708,53124,9/1/2014
109,27,125.32,0,0,9/1/2014
109,33,6105,0,0,1/1/1900
109,34,7335,0,0,9/1/2014
110,27,0,0,0,9/1/2014
110,34,20409,1700.75,3401.5,9/1/2014
111,27,83.32,0,0,9/1/2014
111,33,250,0,0,1/1/1900
111,34,20409,1700.75,3401.5,9/1/2014
112,33,2577.56,0,0,1/1/1900
112,34,137196,11433,22866,1/1/1900
115,27,0,0,0,9/1/2014
115,33,4215,0,0,1/1/1900
115,34,16200,1350,2700,9/1/2014
116,33,1349.02,0,0,1/1/1900
117,27,295,0,0,9/1/2014
117,34,5000,0,0,1/1/1900
118,27,3008.9,0,0,9/1/2014
118,34,195606,16300.5,32601,9/1/2014
119,27,0,0,0,9/1/2014
119,34,60000,5000,10000,9/1/2014
120,27,50.67,50.67,0,9/1/2014
120,33,3000,0,0,1/1/1900
120,34,1636.35,0,0,9/1/2014
121,27,302.56,0,0,9/1/2014
122,27,1571.36,0,0,9/1/2014
122,33,15287.54,0,0,1/1/1900
122,34,207447,0,0,1/1/1900
123,27,138.88,0,0,9/1/2014
123,34,500.01,0,0,9/1/2014
124,27,5313.68,0,0,9/1/2014
124,34,133200,11100,22200,9/1/2014
125,27,93.32,0,0,9/1/2014
125,33,1490.31,0,0,1/1/1900
125,34,24774,2064.5,4129,9/1/2014
126,27,78.56,0,0,9/1/2014
126,33,9750,0,0,1/1/1900
126,34,17496,1458,2916,9/1/2014
128,27,72.12,0,0,9/1/2014
128,33,4857,0,0,1/1/1900
128,34,18900,1575,3150,9/1/2014
129,27,50,0,0,9/1/2014
129,33,250,0,0,1/1/1900
129,34,250,0,0,9/1/2014
130,27,218.24,0,0,9/1/2014
130,33,300,0,0,1/1/1900
130,34,250.39,0,0,9/1/2014
132,27,148,0,0,9/1/2014
132,34,23151,1929.25,3858.5,1/1/1900
133,27,162,0,0,9/1/2014
133,33,208.02,0,0,1/1/1900
133,34,700,0,0,1/1/1900
134,27,70,0,0,9/1/2014
134,34,1350,0,0,1/1/1900
135,27,108,0,0,9/1/2014
135,33,2332,0,0,1/1/1900
135,34,3730,466.25,466.25,1/1/1900
136,27,166.68,0,0,9/1/2014
136,33,16.52,0,0,1/1/1900
137,27,122.24,0,0,9/1/2014
138,33,1000,0,0,1/1/1900
138,34,52074,4339.5,8679,1/1/1900
139,27,204.44,0,0,9/1/2014
139,33,600,0,0,1/1/1900
140,33,215,0,0,1/1/1900
140,34,96934.01,2091.34,36285.15,1/1/1900
141,27,166.68,0,0,9/1/2014
141,33,3065.74,0,0,1/1/1900
142,27,396.76,0,0,9/1/2014
143,33,1911.35,0,0,1/1/1900
143,34,7920,0,0,1/1/1900
144,27,71.52,0,0,9/1/2014
144,33,3000,0,0,1/1/1900
145,27,144,0,0,9/1/2014
145,34,1603.86,0,0,1/1/1900
146,27,111.12,0,0,9/1/2014
146,33,1546.9,0,0,1/1/1900
146,34,2751.77,0,0,1/1/1900
147,27,72.07,0,0,9/1/2014
147,34,42558,3868.91,7737.81,1/1/1900
148,27,166.68,0,0,9/1/2014
148,33,500,0,0,1/1/1900
149,27,945,0,0,9/1/2014
149,33,105,0,0,1/1/1900
149,34,150,0,0,1/1/1900
150,27,37.32,0,0,9/1/2014
151,34,10433.16,0,0,1/1/1900
153,27,345.76,0,0,9/1/2014
154,33,51.96,0,0,1/1/1900
154,34,17120,0,1426.63,1/1/1900
155,33,28381,0,0,1/1/1900
156,27,519.68,0,0,9/1/2014
156,33,16414,0,0,1/1/1900
156,34,75426,6285.5,12571,1/1/1900
157,33,289.76,0,0,1/1/1900
158,27,178.88,0,0,9/1/2014
158,33,1140,0,0,1/1/1900
158,34,380,0,0,1/1/1900
159,27,168,0,0,9/1/2014
159,33,18822,0,0,1/1/1900
159,34,1500,0,0,1/1/1900
160,27,477.75,0,0,1/1/1900
160,33,159.25,0,0,1/1/1900
160,34,17496,1458,2916,1/1/1900
162,27,200,0,0,9/1/2014
162,33,1000,0,0,1/1/1900
162,34,1036.7,0,0,1/1/1900
163,33,3910,0,0,1/1/1900
167,34,109,0,0,1/1/1900
168,33,90,0,0,1/1/1900
168,34,109,0,0,1/1/1900
169,34,109,0,0,1/1/1900
173,33,159.5,0,0,1/1/1900
174,33,413.35,0,0,1/1/1900
218,34,71.92,0,0,1/1/1900
219,34,111,0,0,1/1/1900
220,33,85.77,0,0,1/1/1900
229,33,205.14,0,0,1/1/1900
230,33,23,0,0,1/1/1900
230,34,0,0,0,1/1/1900
231,33,0,0,0,1/1/1900
231,34,89,0,0,1/1/1900
232,27,2205.75,0,0,1/1/1900
232,33,415,0,0,1/1/1900
232,34,4786.36,0,0,1/1/1900
234,33,0,0,0,1/1/1900
235,33,1019.35,0,0,1/1/1900
236,33,480,0,0,1/1/1900
237,33,2740,0,0,1/1/1900
237,34,5500,0,0,1/1/1900
238,34,5500,0,0,1/1/1900
239,33,5500,0,0,1/1/1900
240,33,7000,0,0,1/1/1900
240,34,5500,0,0,1/1/1900
241,33,15992,0,0,1/1/1900
241,34,30351,2529.25,5058.5,1/1/1900
242,33,1133.92,0,0,1/1/1900
242,34,15000,1250,2500,1/1/1900
243,33,2908.4,0,0,1/1/1900
243,34,155,0,0,1/1/1900
244,33,1600,0,0,1/1/1900
244,34,0,0,0,1/1/1900
246,34,16200,1350,2700,1/1/1900
247,34,16200,1350,2700,1/1/1900
248,33,133,0,0,1/1/1900
248,34,400,0,0,1/1/1900
249,33,0,0,0,1/1/1900
249,34,88,0,0,1/1/1900
250,33,4290,536.25,536.25,1/1/1900
250,34,730.02,0,0,1/1/1900
252,33,1362,0,0,1/1/1900
254,27,156,0,0,1/1/1900
254,33,328,0,0,1/1/1900
254,34,428.57,0,0,1/1/1900
256,27,5137,0,0,1/1/1900
256,33,330,0,0,1/1/1900
256,34,642.1,0,0,1/1/1900
257,33,365.13,0,0,1/1/1900
257,34,105,0,0,1/1/1900
258,33,267.47,0,0,1/1/1900
259,33,550,0,0,1/1/1900
260,33,2550,0,0,1/1/1900
261,33,350,0,0,1/1/1900
263,33,100,0,0,1/1/1900
268,34,13200,1100,2200,1/1/1900
269,34,36000,3000,6000,1/1/1900
270,33,455,0,0,1/1/1900
271,33,535.5,0,0,1/1/1900
272,33,507.5,0,0,1/1/1900
