LoanEmpCode,LoanParCode,LoanOrgAmt,LoanRepAmt,LoanRemAmt,LoantrDate
105,33,100,0,0,01-01-1900 00:00
107,33,16640,0,0,01-01-1900 00:00
108,33,43000,0,40000,01-01-1900 00:00
109,33,10166.55,500,9666.55,01-01-1900 00:00
110,33,10000,500,7500,01-01-1900 00:00
112,33,15000,0,0,01-01-1900 00:00
116,33,10000,0,0,01-01-1900 00:00
117,33,12200,0,0,01-01-1900 00:00
120,33,2000,0,0,01-01-1900 00:00
122,33,20000,0,20000,01-01-1900 00:00
124,33,5000,300,2300,01-01-1900 00:00
125,33,500,0,0,01-01-1900 00:00
126,33,2000,0,0,01-01-1900 00:00
127,33,10000,500,3500,01-01-1900 00:00
128,33,10000,0,0,01-01-1900 00:00
129,33,17000,0,0,01-01-1900 00:00
130,33,10000,0,0,01-01-1900 00:00
133,33,15000,1000,5000,01-01-1900 00:00
134,33,30000,0,0,01-01-1900 00:00
135,33,4666.66,0,3333.3,01-01-1900 00:00
136,33,9400,600,5200,01-01-1900 00:00
137,33,9158,417,1652,01-01-1900 00:00
138,33,8189,417,2768,01-01-1900 00:00
139,33,12600,370,7050,01-01-1900 00:00
140,33,10000,0,0,01-01-1900 00:00
141,33,400,0,0,01-01-1900 00:00
143,33,5000,200,3400,01-01-1900 00:00
144,33,666.72,0,0,01-01-1900 00:00
145,33,10000,0,0,01-01-1900 00:00
147,33,7000,500,2500,01-01-1900 00:00
148,33,8000,500,7500,01-01-1900 00:00
149,33,10500,500,10000,01-01-1900 00:00
150,33,9444,0,0,01-01-1900 00:00
152,33,50000,0,0,01-01-1900 00:00
153,33,12500,500,10000,01-01-1900 00:00
155,33,3900,0,0,01-01-1900 00:00
157,33,3200,0,0,01-01-1900 00:00
159,33,1333.3,0,0,01-01-1900 00:00
160,33,6200,400,4200,01-01-1900 00:00
162,33,2100,0,0,01-01-1900 00:00
163,33,14000,500,11500,01-01-1900 00:00
165,33,20000,1100,10100,01-01-1900 00:00
166,33,5500,0,0,01-01-1900 00:00
168,33,5000,0,0,01-01-1900 00:00
169,33,8000,500,7500,01-01-1900 00:00
170,33,7500,0,0,01-01-1900 00:00
171,33,8000,0,0,01-01-1900 00:00
172,33,1149,167,648,01-01-1900 00:00
179,33,5000,0,0,01-01-1900 00:00
181,33,2000,167,497,01-01-1900 00:00
187,33,8700,300,8700,01-01-1900 00:00
197,33,9000,500,8500,01-01-1900 00:00
200,33,5000,0,0,01-01-1900 00:00
206,33,998,0,0,01-01-1900 00:00
208,33,44680,1320,44680,01-01-1900 00:00
210,33,7500,625,4375,01-01-1900 00:00
216,33,3000,500,1500,01-01-1900 00:00
218,33,5000,350,800,01-01-1900 00:00
224,33,5333.32,0,0,01-01-1900 00:00
228,33,10000,500,9500,01-01-1900 00:00
234,33,6500,1000,6500,01-01-1900 00:00
239,33,3800,300,1100,01-01-1900 00:00
242,33,20000,1000,17000,01-01-1900 00:00
246,33,10000,500,10000,01-01-1900 00:00
